Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
B1,05/04/2026,KVC Westerlo,Charleroi,,,,2.55,3.35,2.65
D1,05/04/2026,Union Berlin,FC St. Pauli,,,,2.22,3.05,3.4
D1,05/04/2026,Eintracht Frankfurt,1. FC Köln,,,,1.9,3.65,3.7
D2,05/04/2026,Hannover 96,SV Elversberg,,,,2.2,3.5,3.1
D2,05/04/2026,FC Schalke 04,Karlsruher SC,,,,1.45,4.33,6.75
D2,05/04/2026,SpVgg Greuther Fürth,SC Paderborn 07,,,,3.8,3.75,1.85
D2,05/04/2026,Holstein Kiel,Preußen Münster,,,,1.9,3.6,3.75
D2,05/04/2026,Eintracht Braunschweig,1. FC Nürnberg,,,,2.5,3.5,2.6
I1,05/04/2026,Cremonese,Bologna,,,,3.25,3.25,2.2
I1,05/04/2026,Pisa,Torino,,,,3.25,2.96,2.36
I1,05/04/2026,Inter,AS Roma,,,,1.64,3.8,5.1
I2,05/04/2026,Frosinone,Padova,,,,1.47,4.55,6.0
I2,05/04/2026,Palermo,Avellino,,,,1.63,3.85,5.1
N1,05/04/2026,GO Ahead Eagles,PEC Zwolle,,,,1.92,3.75,3.55
N1,05/04/2026,Heerenveen,Heracles,,,,1.44,4.9,5.9
N1,05/04/2026,FC Volendam,Feyenoord,,,,6.2,4.55,1.45
N1,05/04/2026,NAC Breda,Sparta Rotterdam,,,,2.32,3.4,2.92
SC0,05/04/2026,Livingston,Heart Of Midlothian,,,,7.2,4.45,1.42
SC0,05/04/2026,Dundee,Celtic,,,,6.0,4.3,1.48
SC3,05/04/2026,Raith Rovers,Inverness CT,,,,2.62,3.3,2.4
SP1,05/04/2026,Getafe,Athletic Club,,,,2.95,2.84,2.65
SP1,05/04/2026,Valencia,Celta Vigo,,,,2.3,3.2,3.1
SP1,05/04/2026,Oviedo,Sevilla,,,,2.68,2.92,2.84
SP1,05/04/2026,Alaves,Osasuna,,,,2.6,3.1,2.76
SP2,05/04/2026,Eibar,AD Ceuta FC,,,,1.64,3.6,5.5
SP2,05/04/2026,FC Andorra,Racing Santander,,,,2.28,3.65,2.78
