[14/04/2026  1:00:02.01] Starting weather retry 
[WeatherRetry] HTTP 429 for 2010-09-21
[WeatherRetry] HTTP 429 for 2010-09-21
[WeatherRetry] HTTP 429 for 2010-09-21
[WeatherRetry] HTTP 429 for 2010-09-21
[WeatherRetry] HTTP 429 for 2010-09-21
[WeatherRetry] HTTP 429 for 2010-09-21
[WeatherRetry] HTTP 429 for 2010-09-23
[WeatherRetry] HTTP 429 for 2010-09-25
[WeatherRetry] HTTP 429 for 2010-09-25
[WeatherRetry] HTTP 429 for 2010-09-25
[WeatherRetry] HTTP 429 for 2010-09-25
[WeatherRetry] HTTP 429 for 2010-09-25
[WeatherRetry] HTTP 429 for 2010-09-26
[WeatherRetry] HTTP 429 for 2010-09-26
[WeatherRetry] HTTP 429 for 2010-09-28
[WeatherRetry] HTTP 429 for 2010-09-28
[WeatherRetry] HTTP 429 for 2010-09-28
[WeatherRetry] HTTP 429 for 2010-09-28
[WeatherRetry] HTTP 429 for 2010-09-29
[WeatherRetry] HTTP 429 for 2010-09-29
[WeatherRetry] HTTP 429 for 2010-09-29
[WeatherRetry] HTTP 429 for 2010-10-02
[WeatherRetry] HTTP 429 for 2010-10-02
[WeatherRetry] HTTP 429 for 2010-10-02
[WeatherRetry] HTTP 429 for 2010-10-02
[WeatherRetry] HTTP 429 for 2010-10-02
[WeatherRetry] HTTP 429 for 2010-10-02
[WeatherRetry] HTTP 429 for 2010-10-02
[WeatherRetry] HTTP 429 for 2010-10-05
[WeatherRetry] HTTP 429 for 2010-10-05
[WeatherRetry] HTTP 429 for 2010-10-05
[WeatherRetry] HTTP 429 for 2010-10-05
[WeatherRetry] HTTP 429 for 2010-10-05
[WeatherRetry] HTTP 429 for 2010-10-07
[WeatherRetry] HTTP 429 for 2010-10-09
[WeatherRetry] HTTP 429 for 2010-10-09
[WeatherRetry] HTTP 429 for 2010-10-09
[WeatherRetry] HTTP 429 for 2010-10-09
[WeatherRetry] HTTP 429 for 2010-10-09
[WeatherRetry] HTTP 429 for 2010-10-10
[WeatherRetry] HTTP 429 for 2010-10-10
[WeatherRetry] HTTP 429 for 2010-10-16
[WeatherRetry] HTTP 429 for 2010-10-16
[WeatherRetry] HTTP 429 for 2010-10-16
[WeatherRetry] HTTP 429 for 2010-10-16
[WeatherRetry] HTTP 429 for 2010-10-16
[WeatherRetry] HTTP 429 for 2010-10-16
[WeatherRetry] HTTP 429 for 2010-10-16
[WeatherRetry] HTTP 429 for 2010-10-29
[WeatherRetry] HTTP 429 for 2010-10-30
[WeatherRetry] HTTP 429 for 2010-10-30
[WeatherRetry] HTTP 429 for 2010-10-30
[WeatherRetry] HTTP 429 for 2010-10-30
[WeatherRetry] HTTP 429 for 2010-10-30
[WeatherRetry] HTTP 429 for 2010-10-30
[WeatherRetry] HTTP 429 for 2010-11-06
[WeatherRetry] HTTP 429 for 2010-11-09
[WeatherRetry] HTTP 429 for 2010-11-09
[WeatherRetry] HTTP 429 for 2010-11-09
[WeatherRetry] HTTP 429 for 2010-11-09
[WeatherRetry] HTTP 429 for 2010-11-09
[WeatherRetry] HTTP 429 for 2010-11-09
[WeatherRetry] HTTP 429 for 2010-11-13
[WeatherRetry] HTTP 429 for 2010-11-13
[WeatherRetry] HTTP 429 for 2010-11-13
[WeatherRetry] HTTP 429 for 2010-11-13
[WeatherRetry] HTTP 429 for 2010-11-13
[WeatherRetry] HTTP 429 for 2010-11-13
[WeatherRetry] HTTP 429 for 2010-11-13
[WeatherRetry] HTTP 429 for 2010-11-13
[WeatherRetry] HTTP 429 for 2010-11-13
[WeatherRetry] HTTP 429 for 2010-11-20
[WeatherRetry] HTTP 429 for 2010-11-20
[WeatherRetry] HTTP 429 for 2010-11-20
[WeatherRetry] HTTP 429 for 2010-11-20
[WeatherRetry] HTTP 429 for 2010-11-21
[WeatherRetry] HTTP 429 for 2010-11-25
[WeatherRetry] HTTP 429 for 2010-11-27
[WeatherRetry] HTTP 429 for 2010-11-30
[WeatherRetry] HTTP 429 for 2010-12-07
[WeatherRetry] HTTP 429 for 2010-12-18
[WeatherRetry] HTTP 429 for 2010-12-28
[WeatherRetry] HTTP 429 for 2010-12-28
[WeatherRetry] HTTP 429 for 2010-12-28
[WeatherRetry] HTTP 429 for 2010-12-28
[WeatherRetry] HTTP 429 for 2011-01-01
[WeatherRetry] HTTP 429 for 2011-01-01
[WeatherRetry] HTTP 429 for 2011-01-01
[WeatherRetry] HTTP 429 for 2011-01-01
[WeatherRetry] HTTP 429 for 2011-01-01
[WeatherRetry] HTTP 429 for 2011-01-03
[WeatherRetry] HTTP 429 for 2011-01-03
[WeatherRetry] HTTP 429 for 2011-01-03
[WeatherRetry] HTTP 429 for 2011-01-03
[WeatherRetry] HTTP 429 for 2011-01-03
[WeatherRetry] HTTP 429 for 2011-01-03
[WeatherRetry] HTTP 429 for 2011-01-03
[WeatherRetry] HTTP 429 for 2011-01-04
[WeatherRetry] HTTP 429 for 2011-01-08
[WeatherRetry] HTTP 429 for 2011-01-08
[WeatherRetry] HTTP 429 for 2011-01-08
[WeatherRetry] HTTP 429 for 2011-01-08
[WeatherRetry] HTTP 429 for 2011-01-08
[WeatherRetry] HTTP 429 for 2011-01-08
[WeatherRetry] HTTP 429 for 2011-01-08
[WeatherRetry] HTTP 429 for 2011-01-11
[WeatherRetry] HTTP 429 for 2011-01-11
[WeatherRetry] HTTP 429 for 2011-01-11
[WeatherRetry] HTTP 429 for 2011-01-12
[WeatherRetry] HTTP 429 for 2011-01-15
[WeatherRetry] HTTP 429 for 2011-01-15
[WeatherRetry] HTTP 429 for 2011-01-18
[WeatherRetry] HTTP 429 for 2011-01-18
[WeatherRetry] HTTP 429 for 2011-01-18
[WeatherRetry] HTTP 429 for 2011-01-18
[WeatherRetry] HTTP 429 for 2011-01-18
[WeatherRetry] HTTP 429 for 2011-01-22
[WeatherRetry] HTTP 429 for 2011-01-22
[WeatherRetry] HTTP 429 for 2011-01-22
[WeatherRetry] HTTP 429 for 2011-01-22
[WeatherRetry] HTTP 429 for 2011-01-22
[WeatherRetry] HTTP 429 for 2011-01-25
[WeatherRetry] HTTP 429 for 2011-01-25
[WeatherRetry] HTTP 429 for 2011-01-25
[WeatherRetry] HTTP 429 for 2011-01-25
[WeatherRetry] HTTP 429 for 2011-01-25
[WeatherRetry] HTTP 429 for 2011-01-25
[WeatherRetry] HTTP 429 for 2011-01-29
[WeatherRetry] HTTP 429 for 2011-01-29
[WeatherRetry] HTTP 429 for 2011-01-29
[WeatherRetry] HTTP 429 for 2011-01-29
[WeatherRetry] HTTP 429 for 2011-01-29
[WeatherRetry] HTTP 429 for 2011-01-29
[WeatherRetry] HTTP 429 for 2011-01-29
[WeatherRetry] HTTP 429 for 2011-02-01
[WeatherRetry] HTTP 429 for 2011-02-01
[WeatherRetry] HTTP 429 for 2011-02-01
[WeatherRetry] HTTP 429 for 2011-02-01
[WeatherRetry] HTTP 429 for 2011-02-03
[WeatherRetry] HTTP 429 for 2011-02-05
[WeatherRetry] HTTP 429 for 2011-02-05
[WeatherRetry] HTTP 429 for 2011-02-05
[WeatherRetry] HTTP 429 for 2011-02-05
[WeatherRetry] HTTP 429 for 2011-02-12
[WeatherRetry] HTTP 429 for 2011-02-12
[WeatherRetry] HTTP 429 for 2011-02-12
[WeatherRetry] HTTP 429 for 2011-02-12
[WeatherRetry] HTTP 429 for 2011-02-12
[WeatherRetry] HTTP 429 for 2011-02-12
[WeatherRetry] HTTP 429 for 2011-02-12
[WeatherRetry] HTTP 429 for 2011-02-12
[WeatherRetry] HTTP 429 for 2011-02-12
[WeatherRetry] HTTP 429 for 2011-02-15
[WeatherRetry] HTTP 429 for 2011-02-19
[WeatherRetry] HTTP 429 for 2011-02-19
[WeatherRetry] HTTP 429 for 2011-02-19
[WeatherRetry] HTTP 429 for 2011-02-19
[WeatherRetry] HTTP 429 for 2011-02-19
[WeatherRetry] HTTP 429 for 2011-02-22
[WeatherRetry] HTTP 429 for 2011-02-22
[WeatherRetry] HTTP 429 for 2011-02-22
[WeatherRetry] HTTP 429 for 2011-02-22
[WeatherRetry] HTTP 429 for 2011-02-22
[WeatherRetry] HTTP 429 for 2011-02-22
[WeatherRetry] HTTP 429 for 2011-02-22
[WeatherRetry] HTTP 429 for 2011-02-26
[WeatherRetry] HTTP 429 for 2011-02-26
[WeatherRetry] HTTP 429 for 2011-02-26
[WeatherRetry] HTTP 429 for 2011-02-26
[WeatherRetry] HTTP 429 for 2011-02-26
[WeatherRetry] HTTP 429 for 2011-02-26
[WeatherRetry] HTTP 429 for 2011-02-26
[WeatherRetry] HTTP 429 for 2011-02-26
[WeatherRetry] HTTP 429 for 2011-03-01
[WeatherRetry] HTTP 429 for 2011-03-01
[WeatherRetry] HTTP 429 for 2011-03-01
[WeatherRetry] HTTP 429 for 2011-03-01
[WeatherRetry] HTTP 429 for 2011-03-01
[WeatherRetry] HTTP 429 for 2011-03-02
[WeatherRetry] HTTP 429 for 2011-03-05
[WeatherRetry] HTTP 429 for 2011-03-05
[WeatherRetry] HTTP 429 for 2011-03-05
[WeatherRetry] HTTP 429 for 2011-03-05
[WeatherRetry] HTTP 429 for 2011-03-05
[WeatherRetry] HTTP 429 for 2011-03-05
[WeatherRetry] HTTP 429 for 2011-03-08
[WeatherRetry] HTTP 429 for 2011-03-08
[WeatherRetry] HTTP 429 for 2011-03-12
[WeatherRetry] HTTP 429 for 2011-03-12
[WeatherRetry] HTTP 429 for 2011-03-12
[WeatherRetry] HTTP 429 for 2011-03-12
[WeatherRetry] HTTP 429 for 2011-03-12
[WeatherRetry] HTTP 429 for 2011-03-12
[WeatherRetry] HTTP 429 for 2011-03-15
[WeatherRetry] HTTP 429 for 2011-03-15
[WeatherRetry] HTTP 429 for 2011-03-15
[WeatherRetry] HTTP 429 for 2011-03-18
[WeatherRetry] HTTP 429 for 2011-03-19
[WeatherRetry] HTTP 429 for 2011-03-19
[WeatherRetry] HTTP 429 for 2011-03-19
[WeatherRetry] HTTP 429 for 2011-03-19
[WeatherRetry] HTTP 429 for 2011-03-19
[WeatherRetry] HTTP 429 for 2011-03-19
[WeatherRetry] HTTP 429 for 2011-03-22
[WeatherRetry] HTTP 429 for 2011-03-22
[WeatherRetry] HTTP 429 for 2011-03-22
[WeatherRetry] HTTP 429 for 2011-03-22
[WeatherRetry] HTTP 429 for 2011-03-26
[WeatherRetry] HTTP 429 for 2011-03-26
[WeatherRetry] HTTP 429 for 2011-03-26
[WeatherRetry] HTTP 429 for 2011-03-26
[WeatherRetry] HTTP 429 for 2011-03-26
[WeatherRetry] HTTP 429 for 2011-03-29
[WeatherRetry] HTTP 429 for 2011-03-29
[WeatherRetry] HTTP 429 for 2011-04-02
[WeatherRetry] HTTP 429 for 2011-04-02
[WeatherRetry] HTTP 429 for 2011-04-02
[WeatherRetry] HTTP 429 for 2011-04-02
[WeatherRetry] HTTP 429 for 2011-04-02
[WeatherRetry] HTTP 429 for 2011-04-02
[WeatherRetry] HTTP 429 for 2011-04-02
[WeatherRetry] HTTP 429 for 2011-04-02
[WeatherRetry] HTTP 429 for 2011-04-05
[WeatherRetry] HTTP 429 for 2011-04-09
[WeatherRetry] HTTP 429 for 2011-04-09
[WeatherRetry] HTTP 429 for 2011-04-09
[WeatherRetry] HTTP 429 for 2011-04-09
[WeatherRetry] HTTP 429 for 2011-04-09
[WeatherRetry] HTTP 429 for 2011-04-09
[WeatherRetry] HTTP 429 for 2011-04-12
[WeatherRetry] HTTP 429 for 2011-04-12
[WeatherRetry] HTTP 429 for 2011-04-16
[WeatherRetry] HTTP 429 for 2011-04-16
[WeatherRetry] HTTP 429 for 2011-04-16
[WeatherRetry] HTTP 429 for 2011-04-16
[WeatherRetry] HTTP 429 for 2011-04-16
[WeatherRetry] HTTP 429 for 2011-04-16
[WeatherRetry] HTTP 429 for 2011-04-19
[WeatherRetry] HTTP 429 for 2011-04-19
[WeatherRetry] HTTP 429 for 2011-04-22
[WeatherRetry] HTTP 429 for 2011-04-22
[WeatherRetry] HTTP 429 for 2011-04-22
[WeatherRetry] HTTP 429 for 2011-04-23
[WeatherRetry] HTTP 429 for 2011-04-23
[WeatherRetry] HTTP 429 for 2011-04-23
[WeatherRetry] HTTP 429 for 2011-04-23
[WeatherRetry] HTTP 429 for 2011-04-25
[WeatherRetry] HTTP 429 for 2011-04-25
[WeatherRetry] HTTP 429 for 2011-04-25
[WeatherRetry] HTTP 429 for 2011-04-25
[WeatherRetry] HTTP 429 for 2011-04-25
[WeatherRetry] HTTP 429 for 2011-04-25
[WeatherRetry] HTTP 429 for 2011-04-30
[WeatherRetry] HTTP 429 for 2011-04-30
[WeatherRetry] HTTP 429 for 2011-04-30
[WeatherRetry] HTTP 429 for 2011-04-30
[WeatherRetry] HTTP 429 for 2011-04-30
[WeatherRetry] HTTP 429 for 2011-04-30
[WeatherRetry] HTTP 429 for 2011-04-30
[WeatherRetry] HTTP 429 for 2009-08-08
[WeatherRetry] HTTP 429 for 2009-08-08
[WeatherRetry] HTTP 429 for 2009-08-08
[WeatherRetry] HTTP 429 for 2009-08-08
[WeatherRetry] HTTP 429 for 2009-08-08
[WeatherRetry] HTTP 429 for 2009-08-11
[WeatherRetry] HTTP 429 for 2009-08-11
[WeatherRetry] HTTP 429 for 2009-08-11
[WeatherRetry] HTTP 429 for 2009-08-11
[WeatherRetry] HTTP 429 for 2009-08-11
[WeatherRetry] HTTP 429 for 2009-08-11
[WeatherRetry] HTTP 429 for 2009-08-11
[WeatherRetry] HTTP 429 for 2009-08-15
[WeatherRetry] HTTP 429 for 2009-08-15
[WeatherRetry] HTTP 429 for 2009-08-15
[WeatherRetry] HTTP 429 for 2009-08-15
[WeatherRetry] HTTP 429 for 2009-08-15
[WeatherRetry] HTTP 429 for 2009-08-15
[WeatherRetry] HTTP 429 for 2009-08-15
[WeatherRetry] HTTP 429 for 2009-08-15
