Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
B1,01/02/2019,Royal Excel Mouscron,Charleroi,3,0,H
B1,01/03/2019,Standard Liege,Royal Excel Mouscron,1,1,D
B1,01/09/2018,AS Eupen,Standard Liege,2,1,H
B1,01/09/2018,St. Truiden,Oostende,1,0,H
B1,01/09/2018,Lokeren,SK Beveren,1,0,H
B1,01/09/2018,Charleroi,Royal Excel Mouscron,3,1,H
B1,01/11/2018,Zulte Waregem,Standard Liege,3,1,H
B1,01/11/2018,Anderlecht,Lokeren,1,1,D
B1,01/12/2018,Antwerp,St. Truiden,1,3,A
B1,01/12/2018,Kortrijk,Royal Excel Mouscron,1,0,H
B1,01/12/2018,Zulte Waregem,Oostende,1,1,D
B1,01/12/2018,Charleroi,Cercle Brugge,3,1,H
B1,02/02/2019,SK Beveren,Genk,1,2,A
B1,02/02/2019,Kortrijk,Lokeren,2,1,H
B1,02/02/2019,Zulte Waregem,Cercle Brugge,3,2,H
B1,02/02/2019,Oostende,Antwerp,0,2,A
B1,02/03/2019,Charleroi,Genk,1,1,D
B1,02/03/2019,Kortrijk,Cercle Brugge,2,1,H
B1,02/03/2019,Club Brugge KV,St. Truiden,1,0,H
B1,02/03/2019,Oostende,SK Beveren,1,1,D
B1,02/04/2019,Antwerp,Genk,1,0,H
B1,02/09/2018,Anderlecht,Antwerp,1,1,D
B1,02/09/2018,Kortrijk,Genk,3,3,D
B1,02/09/2018,Cercle Brugge,Gent,0,3,A
B1,02/11/2018,Oostende,Charleroi,2,1,H
B1,02/12/2018,Club Brugge KV,Standard Liege,3,0,H
B1,02/12/2018,AS Eupen,SK Beveren,1,0,H
B1,02/12/2018,Anderlecht,Genk,0,1,A
B1,03/02/2019,Standard Liege,Anderlecht,2,1,H
B1,03/02/2019,Club Brugge KV,Gent,1,1,D
B1,03/02/2019,St. Truiden,AS Eupen,4,1,H
B1,03/03/2019,Lokeren,Anderlecht,1,2,A
B1,03/03/2019,Antwerp,AS Eupen,2,1,H
B1,03/03/2019,Zulte Waregem,Gent,1,3,A
B1,03/04/2019,Gent,Standard Liege,1,2,A
B1,03/05/2019,Genk,Antwerp,4,0,H
B1,03/08/2018,SK Beveren,Standard Liege,0,0,D
B1,03/11/2018,Genk,Club Brugge KV,1,1,D
B1,03/11/2018,Cercle Brugge,Royal Excel Mouscron,2,1,H
B1,03/11/2018,Gent,Kortrijk,3,1,H
B1,04/04/2019,Anderlecht,Club Brugge KV,2,3,A
B1,04/08/2018,Antwerp,Kortrijk,0,0,D
B1,04/08/2018,AS Eupen,Charleroi,1,4,A
B1,04/08/2018,Gent,Zulte Waregem,1,1,D
B1,04/08/2018,Cercle Brugge,Lokeren,3,2,H
B1,04/11/2018,Lokeren,AS Eupen,2,0,H
B1,04/11/2018,Standard Liege,Antwerp,0,2,A
B1,04/11/2018,SK Beveren,Anderlecht,1,2,A
B1,04/11/2018,St. Truiden,Zulte Waregem,2,1,H
B1,05/05/2019,Gent,Club Brugge KV,0,1,A
B1,05/05/2019,Anderlecht,Standard Liege,2,1,H
B1,05/08/2018,Royal Excel Mouscron,Club Brugge KV,0,1,A
B1,05/08/2018,Anderlecht,Oostende,5,2,H
B1,05/08/2018,Genk,St. Truiden,1,1,D
B1,05/10/2018,Cercle Brugge,Charleroi,2,1,H
B1,06/04/2019,Genk,Gent,2,1,H
B1,06/10/2018,SK Beveren,Oostende,1,1,D
B1,06/10/2018,Lokeren,Kortrijk,1,3,A
B1,06/10/2018,St. Truiden,Royal Excel Mouscron,3,1,H
B1,06/10/2018,AS Eupen,Antwerp,1,2,A
B1,07/04/2019,Anderlecht,Antwerp,1,2,A
B1,07/10/2018,Gent,Genk,1,5,A
B1,07/10/2018,Zulte Waregem,Anderlecht,1,2,A
B1,07/10/2018,Standard Liege,Club Brugge KV,3,1,H
B1,07/12/2018,SK Beveren,Club Brugge KV,2,1,H
B1,08/02/2019,Genk,Standard Liege,2,0,H
B1,08/04/2019,Club Brugge KV,Standard Liege,4,0,H
B1,08/12/2018,Oostende,Lokeren,1,0,H
B1,08/12/2018,Genk,Kortrijk,1,1,D
B1,08/12/2018,Royal Excel Mouscron,Zulte Waregem,0,0,D
B1,08/12/2018,St. Truiden,Standard Liege,1,1,D
B1,09/02/2019,St. Truiden,SK Beveren,2,1,H
B1,09/02/2019,Lokeren,Antwerp,2,1,H
B1,09/02/2019,AS Eupen,Kortrijk,0,1,A
B1,09/02/2019,Charleroi,Oostende,1,1,D
B1,09/11/2018,Antwerp,Oostende,2,0,H
B1,09/12/2018,Anderlecht,Charleroi,1,1,D
B1,09/12/2018,Cercle Brugge,Antwerp,0,3,A
B1,09/12/2018,Gent,AS Eupen,2,0,H
B1,10/02/2019,Cercle Brugge,Club Brugge KV,2,2,D
B1,10/02/2019,Anderlecht,Zulte Waregem,0,0,D
B1,10/02/2019,Gent,Royal Excel Mouscron,1,2,A
B1,10/03/2019,SK Beveren,Zulte Waregem,1,1,D
B1,10/03/2019,AS Eupen,Club Brugge KV,0,4,A
B1,10/03/2019,Anderlecht,Kortrijk,2,0,H
B1,10/03/2019,Gent,Oostende,2,1,H
B1,10/03/2019,Cercle Brugge,Standard Liege,1,2,A
B1,10/03/2019,Genk,Lokeren,1,0,H
B1,10/03/2019,Royal Excel Mouscron,St. Truiden,1,1,D
B1,10/03/2019,Antwerp,Charleroi,1,2,A
B1,10/05/2019,Standard Liege,Gent,2,3,A
B1,10/08/2018,Club Brugge KV,Kortrijk,3,0,H
B1,10/11/2018,Cercle Brugge,SK Beveren,2,0,H
B1,10/11/2018,Charleroi,Club Brugge KV,2,1,H
B1,10/11/2018,AS Eupen,St. Truiden,1,4,A
B1,10/11/2018,Zulte Waregem,Lokeren,2,0,H
B1,11/08/2018,Zulte Waregem,AS Eupen,4,0,H
B1,11/08/2018,St. Truiden,Lokeren,1,1,D
B1,11/08/2018,Royal Excel Mouscron,Antwerp,0,1,A
