Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
E1,01/01/2013,Watford,Charlton,3,4,A
E1,01/01/2013,Crystal Palace,Wolves,3,1,H
E1,01/01/2013,Birmingham,Cardiff,0,1,A
E1,01/01/2013,Leicester,Huddersfield,6,1,H
E1,01/01/2013,Blackpool,Hull,0,0,D
E1,01/01/2013,Peterborough,Barnsley,2,1,H
E1,01/01/2013,Sheffield Weds,Burnley,0,2,A
E1,01/01/2013,Derby,Middlesbrough,3,1,H
E1,01/01/2013,Blackburn,Nott'm Forest,3,0,H
E1,01/01/2013,Leeds,Bolton,1,0,H
E1,01/01/2013,Millwall,Bristol City,2,1,H
E1,01/01/2013,Ipswich,Brighton,0,3,A
E1,01/03/2013,Wolves,Watford,1,1,D
E1,01/03/2013,Derby,Crystal Palace,0,1,A
E1,01/04/2013,Leeds,Derby,1,2,A
E1,01/04/2013,Blackpool,Crystal Palace,1,0,H
E1,01/04/2013,Barnsley,Leicester,2,0,H
E1,01/04/2013,Cardiff,Blackburn,3,0,H
E1,01/04/2013,Burnley,Nott'm Forest,1,1,D
E1,01/04/2013,Birmingham,Wolves,2,3,A
E1,01/04/2013,Bristol City,Sheffield Weds,1,1,D
E1,01/04/2013,Millwall,Ipswich,0,0,D
E1,01/09/2012,Ipswich,Huddersfield,2,2,D
E1,01/09/2012,Burnley,Brighton,1,3,A
E1,01/09/2012,Crystal Palace,Sheffield Weds,2,1,H
E1,01/09/2012,Birmingham,Peterborough,1,0,H
E1,01/09/2012,Leeds,Blackburn,3,3,D
E1,01/09/2012,Derby,Watford,5,1,H
E1,01/09/2012,Nott'm Forest,Charlton,2,1,H
E1,01/09/2012,Millwall,Middlesbrough,3,1,H
E1,01/09/2012,Barnsley,Bristol City,1,0,H
E1,01/09/2012,Leicester,Blackpool,1,0,H
E1,01/09/2012,Hull,Bolton,3,1,H
E1,01/12/2012,Huddersfield,Leeds,2,4,A
E1,01/12/2012,Bristol City,Wolves,1,4,A
E1,01/12/2012,Crystal Palace,Brighton,3,0,H
E1,01/12/2012,Millwall,Charlton,0,0,D
E1,01/12/2012,Nott'm Forest,Hull,1,2,A
E1,01/12/2012,Bolton,Ipswich,1,2,A
E1,01/12/2012,Peterborough,Blackpool,1,4,A
E1,01/12/2012,Leicester,Derby,4,1,H
E1,01/12/2012,Watford,Barnsley,4,1,H
E1,02/02/2013,Blackburn,Bristol City,2,0,H
E1,02/02/2013,Millwall,Hull,0,1,A
E1,02/02/2013,Leeds,Cardiff,0,1,A
E1,02/02/2013,Derby,Huddersfield,3,0,H
E1,02/02/2013,Peterborough,Burnley,2,2,D
E1,02/02/2013,Blackpool,Barnsley,1,2,A
E1,02/02/2013,Ipswich,Middlesbrough,4,0,H
E1,02/02/2013,Sheffield Weds,Brighton,3,1,H
E1,02/02/2013,Crystal Palace,Charlton,2,1,H
E1,02/02/2013,Watford,Bolton,2,1,H
E1,02/02/2013,Birmingham,Nott'm Forest,2,1,H
E1,02/03/2013,Sheffield Weds,Nott'm Forest,0,1,A
E1,02/03/2013,Ipswich,Leicester,1,0,H
E1,02/03/2013,Brighton,Huddersfield,4,1,H
E1,02/03/2013,Leeds,Millwall,1,0,H
E1,02/03/2013,Hull,Birmingham,5,2,H
E1,02/03/2013,Charlton,Burnley,0,1,A
E1,02/03/2013,Barnsley,Bolton,2,3,A
E1,02/03/2013,Middlesbrough,Cardiff,2,1,H
E1,02/03/2013,Blackburn,Peterborough,2,3,A
E1,02/03/2013,Blackpool,Bristol City,0,0,D
E1,02/04/2013,Brighton,Charlton,0,0,D
E1,02/04/2013,Hull,Watford,0,1,A
E1,02/04/2013,Middlesbrough,Peterborough,0,0,D
E1,02/04/2013,Bolton,Huddersfield,1,0,H
E1,02/09/2012,Cardiff,Wolves,3,1,H
E1,02/10/2012,Huddersfield,Leicester,0,2,A
E1,02/10/2012,Brighton,Ipswich,1,1,D
E1,02/10/2012,Bolton,Leeds,2,2,D
E1,02/10/2012,Charlton,Watford,1,2,A
E1,02/10/2012,Barnsley,Peterborough,0,2,A
E1,02/10/2012,Cardiff,Birmingham,2,1,H
E1,02/10/2012,Hull,Blackpool,2,3,A
E1,02/10/2012,Bristol City,Millwall,1,1,D
E1,02/10/2012,Burnley,Sheffield Weds,3,3,D
E1,02/10/2012,Wolves,Crystal Palace,1,2,A
E1,02/11/2012,Brighton,Leeds,2,2,D
E1,02/12/2012,Cardiff,Sheffield Weds,1,0,H
E1,02/12/2012,Burnley,Blackburn,1,1,D
E1,03/10/2012,Middlesbrough,Derby,2,2,D
E1,03/10/2012,Nott'm Forest,Blackburn,0,0,D
