Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
I1,01/02/2011,AC Milan,Lazio,0,0,D
I1,01/05/2011,Sampdoria,Brescia,3,3,D
I1,01/05/2011,AC Milan,Bologna,1,0,H
I1,01/05/2011,Bari,AS Roma,2,3,A
I1,01/05/2011,Catania,Cagliari,2,0,H
I1,01/05/2011,Parma,Palermo,3,1,H
I1,01/05/2011,Chievo,Lecce,1,0,H
I1,01/05/2011,Fiorentina,Udinese,5,2,H
I1,02/02/2011,AS Roma,Brescia,1,1,D
I1,02/02/2011,Sampdoria,Cagliari,0,1,A
I1,02/02/2011,Cesena,Catania,1,1,D
I1,02/02/2011,Fiorentina,Genoa,1,0,H
I1,02/02/2011,Palermo,Juventus,2,1,H
I1,02/02/2011,Parma,Lecce,0,1,A
I1,02/02/2011,Chievo,Napoli,2,0,H
I1,02/02/2011,Udinese,Bologna,1,1,D
I1,02/04/2011,AC Milan,Inter,3,0,H
I1,02/04/2011,Brescia,Bologna,3,1,H
I1,02/05/2011,Lazio,Juventus,0,1,A
I1,02/10/2010,Parma,AC Milan,0,1,A
I1,02/10/2010,Udinese,Cesena,1,0,H
I1,03/02/2011,Bari,Inter,0,3,A
I1,03/04/2011,AS Roma,Juventus,0,2,A
I1,03/04/2011,Catania,Palermo,4,0,H
I1,03/04/2011,Cesena,Fiorentina,2,2,D
I1,03/04/2011,Genoa,Cagliari,0,1,A
I1,03/04/2011,Parma,Bari,1,2,A
I1,03/04/2011,Napoli,Lazio,4,3,H
I1,03/04/2011,Lecce,Udinese,2,0,H
I1,03/04/2011,Chievo,Sampdoria,0,0,D
I1,03/10/2010,Chievo,Cagliari,0,0,D
I1,03/10/2010,Napoli,AS Roma,2,0,H
I1,03/10/2010,Fiorentina,Palermo,1,2,A
I1,03/10/2010,Bologna,Sampdoria,1,1,D
I1,03/10/2010,Lazio,Brescia,1,0,H
I1,03/10/2010,Genoa,Bari,2,1,H
I1,03/10/2010,Lecce,Catania,1,0,H
I1,03/10/2010,Inter,Juventus,0,0,D
I1,03/12/2010,Lazio,Inter,3,1,H
I1,04/03/2011,Lecce,AS Roma,1,2,A
I1,04/12/2010,Chievo,AS Roma,2,2,D
I1,04/12/2010,AC Milan,Brescia,3,0,H
I1,05/02/2011,Udinese,Sampdoria,2,0,H
I1,05/02/2011,Cagliari,Juventus,1,3,A
I1,05/03/2011,Juventus,AC Milan,0,1,A
I1,05/12/2010,Cesena,Bologna,0,2,A
I1,05/12/2010,Fiorentina,Cagliari,1,0,H
I1,05/12/2010,Lecce,Genoa,1,3,A
I1,05/12/2010,Parma,Udinese,2,1,H
I1,05/12/2010,Catania,Juventus,1,3,A
I1,05/12/2010,Sampdoria,Bari,3,0,H
I1,06/01/2011,Bologna,Fiorentina,1,1,D
I1,06/01/2011,Palermo,Sampdoria,3,0,H
I1,06/01/2011,Inter,Napoli,3,1,H
I1,06/01/2011,Lecce,Bari,0,1,A
I1,06/01/2011,Udinese,Chievo,2,0,H
I1,06/01/2011,AS Roma,Catania,4,2,H
I1,06/01/2011,Genoa,Lazio,0,0,D
I1,06/01/2011,Cagliari,AC Milan,0,1,A
I1,06/01/2011,Juventus,Parma,1,4,A
I1,06/01/2011,Brescia,Cesena,1,2,A
I1,06/02/2011,Lazio,Chievo,1,1,D
I1,06/02/2011,Napoli,Cesena,2,0,H
I1,06/02/2011,Inter,AS Roma,5,3,H
I1,06/02/2011,Brescia,Bari,2,0,H
I1,06/02/2011,Lecce,Palermo,2,4,A
I1,06/02/2011,Genoa,AC Milan,1,1,D
I1,06/02/2011,Bologna,Catania,1,0,H
I1,06/02/2011,Parma,Fiorentina,1,1,D
