Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
N1,01/05/2022,Fortuna Sittard,Feyenoord,1,3,A
N1,01/05/2022,Heerenveen,Cambuur,3,3,D
N1,01/05/2022,Waalwijk,Groningen,3,1,H
N1,01/05/2022,GO Ahead Eagles,Vitesse,1,2,A
N1,01/05/2022,PSV Eindhoven,Willem II,4,2,H
N1,01/10/2021,Groningen,Twente,1,1,D
N1,01/12/2021,Feyenoord,Heracles,2,1,H
N1,02/04/2022,Groningen,Ajax,1,3,A
N1,02/04/2022,Twente,PSV Eindhoven,3,3,D
N1,02/04/2022,AZ Alkmaar,Vitesse,3,1,H
N1,02/04/2022,Feyenoord,Willem II,2,0,H
N1,02/04/2022,Waalwijk,Utrecht,1,1,D
N1,02/10/2021,Heracles,Willem II,3,2,H
N1,02/10/2021,Fortuna Sittard,NEC Nijmegen,1,3,A
N1,02/10/2021,PEC Zwolle,Heerenveen,0,1,A
N1,02/10/2021,Waalwijk,GO Ahead Eagles,1,1,D
N1,02/12/2021,Ajax,Willem II,5,0,H
N1,02/12/2021,AZ Alkmaar,Fortuna Sittard,2,1,H
N1,03/04/2022,Fortuna Sittard,Heracles,0,2,A
N1,03/04/2022,Sparta Rotterdam,Heerenveen,1,1,D
N1,03/04/2022,Cambuur,NEC Nijmegen,1,2,A
N1,03/04/2022,PEC Zwolle,GO Ahead Eagles,0,1,A
N1,03/10/2021,Ajax,Utrecht,0,1,A
N1,03/10/2021,Cambuur,AZ Alkmaar,1,3,A
N1,03/10/2021,Vitesse,Feyenoord,2,1,H
N1,03/10/2021,PSV Eindhoven,Sparta Rotterdam,2,1,H
N1,03/12/2021,Groningen,PEC Zwolle,1,1,D
N1,04/12/2021,PSV Eindhoven,Utrecht,4,1,H
N1,04/12/2021,Cambuur,Vitesse,1,6,A
N1,04/12/2021,Heracles,Heerenveen,0,1,A
N1,05/02/2022,Twente,Vitesse,3,0,H
N1,05/02/2022,PSV Eindhoven,AZ Alkmaar,1,2,A
N1,05/02/2022,PEC Zwolle,NEC Nijmegen,1,1,D
N1,05/02/2022,Fortuna Sittard,Heerenveen,2,0,H
N1,05/02/2022,Utrecht,Cambuur,3,2,H
N1,05/03/2022,GO Ahead Eagles,Utrecht,1,1,D
N1,05/03/2022,Feyenoord,Groningen,1,1,D
N1,05/03/2022,Willem II,Heerenveen,0,0,D
N1,05/11/2021,Twente,Heracles,1,0,H
N1,05/12/2021,Waalwijk,NEC Nijmegen,2,1,H
N1,05/12/2021,Feyenoord,Fortuna Sittard,5,0,H
N1,05/12/2021,GO Ahead Eagles,Twente,1,2,A
N1,05/12/2021,AZ Alkmaar,Sparta Rotterdam,3,1,H
N1,06/02/2022,Feyenoord,Sparta Rotterdam,4,0,H
N1,06/02/2022,Willem II,Waalwijk,3,1,H
N1,06/02/2022,Groningen,GO Ahead Eagles,2,1,H
N1,06/02/2022,Ajax,Heracles,3,0,H
N1,06/03/2022,Fortuna Sittard,PEC Zwolle,0,1,A
N1,06/03/2022,NEC Nijmegen,AZ Alkmaar,1,3,A
N1,06/03/2022,Ajax,Waalwijk,3,2,H
N1,06/03/2022,PSV Eindhoven,Heracles,3,1,H
N1,06/03/2022,Twente,Cambuur,1,0,H
N1,06/05/2022,Cambuur,Waalwijk,1,1,D
N1,06/11/2021,PEC Zwolle,Cambuur,1,2,A
N1,06/11/2021,Willem II,Sparta Rotterdam,0,3,A
N1,06/11/2021,NEC Nijmegen,Heerenveen,1,1,D
N1,07/05/2022,PEC Zwolle,Utrecht,1,1,D
N1,07/05/2022,Willem II,Heracles,2,0,H
N1,07/05/2022,Groningen,Sparta Rotterdam,1,2,A
N1,07/05/2022,Twente,Fortuna Sittard,1,2,A
N1,07/11/2021,Groningen,Waalwijk,1,1,D
N1,07/11/2021,Fortuna Sittard,PSV Eindhoven,1,4,A
N1,07/11/2021,Feyenoord,AZ Alkmaar,1,0,H
N1,07/11/2021,Ajax,GO Ahead Eagles,0,0,D
N1,07/11/2021,Vitesse,Utrecht,2,1,H
N1,08/04/2022,GO Ahead Eagles,Willem II,4,0,H
N1,08/05/2022,AZ Alkmaar,Ajax,2,2,D
N1,08/05/2022,Vitesse,Heerenveen,1,2,A
N1,08/05/2022,NEC Nijmegen,GO Ahead Eagles,1,0,H
N1,08/05/2022,Feyenoord,PSV Eindhoven,2,2,D
N1,09/04/2022,Utrecht,Fortuna Sittard,1,1,D
N1,09/04/2022,Ajax,Sparta Rotterdam,2,1,H
N1,09/04/2022,NEC Nijmegen,Twente,0,2,A
N1,09/05/2022,De Graafschap,FC Eindhoven,1,1,D
N1,10/04/2022,Heerenveen,Groningen,3,1,H
N1,10/04/2022,PSV Eindhoven,Waalwijk,2,0,H
N1,10/04/2022,Heracles,Feyenoord,1,4,A
