Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
SC1,01/02/2025,Hamilton Academical,Ayr Utd,0,2,A
SC1,01/02/2025,Partick,Morton,2,2,D
SC1,01/02/2025,Dunfermline,Raith Rovers,3,1,H
SC1,01/02/2025,Airdrie United,Queen's Park,2,1,H
SC1,01/03/2025,Hamilton Academical,Falkirk,2,2,D
SC1,01/03/2025,Raith Rovers,Queen's Park,0,4,A
SC1,01/03/2025,Ayr Utd,Airdrie United,4,1,H
SC1,01/03/2025,Dunfermline,Morton,2,1,H
SC1,01/11/2024,Raith Rovers,Ayr Utd,2,0,H
SC1,02/04/2025,Dunfermline,Livingston,1,0,H
SC1,02/04/2025,Queen's Park,Airdrie United,0,5,A
SC1,02/05/2025,Livingston,Partick,0,1,A
SC1,02/05/2025,Morton,Dunfermline,2,0,H
SC1,02/05/2025,Falkirk,Hamilton Academical,3,1,H
SC1,02/05/2025,Queen's Park,Raith Rovers,1,5,A
SC1,02/05/2025,Airdrie United,Ayr Utd,0,1,A
SC1,02/08/2024,Falkirk,Queen's Park,2,1,H
SC1,02/11/2024,Airdrie United,Hamilton Academical,0,4,A
SC1,02/11/2024,Falkirk,Morton,6,0,H
SC1,02/11/2024,Dunfermline,Partick,0,1,A
SC1,02/11/2024,Livingston,Queen's Park,1,1,D
SC1,03/08/2024,Hamilton Academical,Ayr Utd,0,2,A
SC1,03/08/2024,Livingston,Dunfermline,2,0,H
SC1,03/08/2024,Partick,Morton,0,0,D
SC1,03/08/2024,Airdrie United,Raith Rovers,1,0,H
SC1,04/01/2025,Queen's Park,Livingston,2,0,H
SC1,04/01/2025,Ayr Utd,Raith Rovers,3,0,H
SC1,04/01/2025,Partick,Dunfermline,1,4,A
SC1,04/03/2025,Airdrie United,Falkirk,0,3,A
SC1,04/03/2025,Queen's Park,Ayr Utd,2,3,A
SC1,05/03/2025,Livingston,Raith Rovers,0,0,D
SC1,05/04/2025,Dunfermline,Hamilton Academical,0,1,A
SC1,05/04/2025,Raith Rovers,Ayr Utd,1,0,H
SC1,05/04/2025,Livingston,Queen's Park,3,0,H
SC1,05/04/2025,Falkirk,Morton,5,0,H
SC1,05/04/2025,Airdrie United,Partick,2,1,H
SC1,05/10/2024,Partick,Livingston,0,0,D
SC1,05/10/2024,Morton,Raith Rovers,2,0,H
SC1,05/10/2024,Falkirk,Ayr Utd,2,0,H
SC1,05/10/2024,Airdrie United,Dunfermline,1,1,D
SC1,05/10/2024,Queen's Park,Hamilton Academical,1,0,H
SC1,06/05/2025,Queen of the South,Cove Rangers,0,0,D
SC1,06/05/2025,Stenhousemuir,Airdrie United,1,3,A
SC1,07/12/2024,Partick,Ayr Utd,1,0,H
SC1,07/12/2024,Queen's Park,Airdrie United,2,0,H
