date,tier,home,away,prediction,actual,score,correct,confidence,chaos_tier,upset_score,market_pred,market_correct,disagree
2026-04-11,E0,Arsenal,Bournemouth,H,A,1-2,0,1.0,MED,0.4221,,,0
2026-04-11,E1,Coventry,Sheffield Wednesday,H,D,0-0,0,1.0,MED,0.2835,,,0
2026-04-11,E1,Middlesbrough,Portsmouth,H,A,0-1,0,1.0,MED,0.4309,,,0
2026-04-11,E2,Plymouth,Exeter City,H,D,2-2,0,1.0,LOW,0.331,,,0
2026-04-11,E3,Chesterfield,Tranmere,H,D,1-1,0,1.0,MED,0.3835,,,0
2026-04-11,E3,Shrewsbury,Oldham,A,H,1-0,0,1.0,MED,0.422,,,0
2026-04-11,E3,Salford City,Gillingham,H,D,0-0,0,1.0,LOW,0.3896,,,0
2026-04-11,EC,Southend,Solihull Moors,H,D,0-0,0,1.0,HIGH,0.3573,,,0
2026-04-12,I1,Como,Inter,H,A,3-4,0,1.0,MED,0.7096,,,0
2026-04-11,I2,Pescara,Sampdoria,H,A,1-2,0,1.0,HIGH,0.5507,,,0
2026-04-12,I2,Reggiana,Carrarese,A,H,2-0,0,1.0,LOW,0.4295,,,0
2026-04-12,N1,Fortuna Sittard,NAC Breda,H,D,1-1,0,1.0,HIGH,0.5662,,,0
2026-04-11,SC0,Aberdeen,Hibernian,A,H,2-0,0,1.0,MED,0.4861,,,0
2026-04-12,E0,Sunderland,Tottenham,H,H,1-0,1,1.0,MED,0.6587,,,0
2026-04-11,E2,Rotherham,Barnsley,A,A,1-3,1,1.0,MED,0.5217,,,0
2026-04-11,E2,Burton Albion,AFC Wimbledon,H,H,1-0,1,1.0,HIGH,0.5505,,,0
2026-04-11,E2,Doncaster,Reading,H,H,1-0,1,1.0,HIGH,0.5434,,,0
2026-04-11,EC,Scunthorpe,Brackley Town,H,H,1-0,1,1.0,MED,0.2331,,,0
2026-04-11,EC,Carlisle,Sutton Utd,H,H,3-0,1,1.0,MED,0.3229,,,0
2026-04-11,EC,Woking,Morecambe,H,H,5-1,1,1.0,HIGH,0.4285,,,0
2026-04-11,EC,Altrincham,Eastleigh,H,H,1-0,1,1.0,MED,0.3918,,,0
2026-04-11,EC,Rochdale,Wealdstone,H,H,2-1,1,1.0,HIGH,0.3692,,,0
2026-04-11,SP1,Barcelona,Espanyol,H,H,4-1,1,1.0,MED,0.323,,,0
2026-04-11,SP2,Burgos,Sporting Gijon,H,H,1-0,1,1.0,MED,0.526,,,0
2026-04-12,SP2,Granada CF,Cultural Leonesa,H,H,1-0,1,1.0,MED,0.4707,,,0
